Date,AAPL,MSFT,AMZN,GOOGL
2022-04-06,170.10533142089844,294.7199401855469,158.75599670410156,136.54800415039062
2022-04-07,170.4122314453125,296.56011962890625,157.7845001220703,135.8885040283203
2022-04-08,168.3828125,292.2303466796875,154.4604949951172,133.28750610351562
2022-04-11,164.0863494873047,280.707275390625,151.1219940185547,128.82350158691406
2022-04-12,165.97720336914062,277.55828857421875,150.78750610351562,127.7145004272461
2022-04-13,168.689697265625,283.029541015625,155.54100036621094,129.8939971923828
2022-04-14,163.63096618652344,275.3639221191406,151.7064971923828,126.7300033569336
2022-04-18,163.41319274902344,276.0428161621094,152.78500366210938,127.67649841308594
2022-04-19,165.7198028564453,280.7466125488281,158.11549377441406,130.00900268554688
2022-04-20,165.551513671875,281.7897033691406,153.9980010986328,128.0399932861328
2022-04-21,164.7496337890625,276.3282775878906,148.29600524902344,124.81449890136719
2022-04-22,160.16610717773438,269.6564636230469,144.35000610351562,119.635498046875
2022-04-25,161.24517822265625,276.23968505859375,146.07400512695312,123.0739974975586
2022-04-26,155.22621154785156,265.9073181152344,139.39100646972656,118.6500015258789
2022-04-27,154.99850463867188,278.6997985839844,138.16700744628906,114.29450225830078
2022-04-28,161.99754333496094,285.00750732421875,144.59649658203125,118.52249908447266
2022-04-29,156.0676727294922,273.0907287597656,124.28150177001953,114.1094970703125
2022-05-02,156.37457275390625,279.9298400878906,124.5,116.58300018310547
2022-05-03,157.87930297851562,277.28277587890625,124.25350189208984,117.33399963378906
2022-05-04,164.3536376953125,285.3518981933594,125.92849731445312,122.26100158691406
2022-05-05,155.19650268554688,272.9234924316406,116.40699768066406,116.50550079345703
2022-05-06,155.93016052246094,270.34527587890625,114.77249908447266,115.74649810791016
2022-05-09,150.7549285888672,260.3572692871094,108.78900146484375,112.51100158691406
2022-05-10,153.18389892578125,265.1987609863281,108.85900115966797,114.3949966430664
2022-05-11,145.24266052246094,256.3916015625,105.37200164794922,113.60250091552734
2022-05-12,141.33648681640625,251.27462768554688,106.93049621582031,112.84400177001953
2022-05-13,145.84742736816406,256.9525451660156,113.05500030517578,116.05049896240234
2022-05-16,144.29092407226562,257.32647705078125,110.81050109863281,114.44499969482422
2022-05-17,147.9591522216797,262.5615539550781,115.36849975585938,116.4729995727539
2022-05-18,139.61143493652344,250.6072235107422,107.11250305175781,111.89949798583984
2022-05-19,136.17120361328125,249.6800537109375,107.31900024414062,110.38400268554688
2022-05-20,136.4091339111328,249.1079864501953,107.59100341796875,108.90799713134766
2022-05-23,141.8817596435547,257.08740234375,107.55699920654297,111.48799896240234
2022-05-24,139.1553497314453,256.071533203125,104.0999984741211,105.97000122070312
2022-05-25,139.3140106201172,258.9318542480469,106.7750015258789,105.80500030517578
2022-05-26,142.54603576660156,262.265625,111.07749938964844,107.7925033569336
2022-05-27,148.35574340820312,269.50531005859375,115.14649963378906,112.31649780273438
2022-05-31,147.5625762939453,268.1540832519531,120.20950317382812,113.76200103759766
2022-06-01,147.4337158203125,268.6965637207031,121.68399810791016,113.89199829101562
2022-06-02,149.91224670410156,270.8269958496094,125.51100158691406,117.62249755859375
2022-06-03,144.1322784423828,266.32928466796875,122.3499984741211,114.54100036621094
2022-06-06,144.88577270507812,265.0766906738281,124.79000091552734,116.82050323486328
2022-06-07,147.4337158203125,268.7754211425781,123.0,117.14949798583984
2022-06-08,146.69012451171875,266.71405029296875,121.18000030517578,117.19400024414062
2022-06-09,141.41583251953125,261.17083740234375,116.1500015258789,114.83550262451172
2022-06-10,135.95310974121094,249.5321044921875,109.6500015258789,111.1614990234375
2022-06-13,130.74815368652344,238.94876098632812,103.66999816894531,106.39250183105469
2022-06-14,131.62057495117188,241.14830017089844,102.30999755859375,106.71549987792969
2022-06-15,134.2676544189453,248.3188934326172,107.66999816894531,109.7645034790039
2022-06-16,128.94375610351562,241.62171936035156,103.66000366210938,106.03350067138672
2022-06-17,130.43089294433594,244.2650909423828,106.22000122070312,107.14350128173828
2022-06-21,134.7039031982422,250.27186584472656,108.68000030517578,111.54399871826172
2022-06-22,134.1883544921875,249.67019653320312,108.94999694824219,111.48750305175781
2022-06-23,137.08331298828125,255.3218536376953,112.44000244140625,112.24199676513672
2022-06-24,140.4442138671875,264.0411071777344,116.45999908447266,117.9749984741211
2022-06-27,140.4442138671875,261.26947021484375,113.22000122070312,115.83350372314453
2022-06-28,136.2604217529297,252.9744110107422,107.4000015258789,112.00749969482422
2022-06-29,138.03504943847656,256.7027893066406,108.91999816894531,111.70149993896484
2022-06-30,135.54661560058594,253.3196258544922,106.20999908447266,108.96299743652344
2022-07-01,137.73760986328125,256.0320129394531,109.55999755859375,108.73750305175781
2022-07-05,140.34506225585938,259.2573547363281,113.5,113.26300048828125
2022-07-06,141.69337463378906,262.5714111328125,114.33000183105469,114.5719985961914
2022-07-07,145.09396362304688,264.73150634765625,116.33000183105469,118.78299713134766
2022-07-08,145.77801513671875,264.0015869140625,115.54000091552734,119.35350036621094
2022-07-11,143.62664794921875,260.8946228027344,111.75,115.67649841308594
2022-07-12,144.608154296875,250.20281982421875,109.22000122070312,114.02050018310547
2022-07-13,144.2413330078125,249.26580810546875,110.4000015258789,111.35350036621094
2022-07-14,147.1957550048828,250.6072235107422,110.62999725341797,110.36750030517578
2022-07-15,148.88116455078125,253.21112060546875,113.55000305175781,111.77749633789062
2022-07-18,145.80780029296875,250.77487182617188,113.76000213623047,109.02999877929688
2022-07-19,149.70404052734375,255.98272705078125,118.20999908447266,113.80999755859375
2022-07-20,151.72654724121094,258.6852722167969,122.7699966430664,113.9000015258789
2022-07-21,154.01669311523438,261.2201232910156,124.62999725341797,114.33999633789062
2022-07-22,152.76751708984375,256.8013916015625,122.41999816894531,107.9000015258789
2022-07-25,151.63731384277344,255.29225158691406,121.13999938964844,107.51000213623047
2022-07-26,150.2989044189453,248.4569854736328,114.80999755859375,105.0199966430664
2022-07-27,155.44435119628906,265.06683349609375,120.97000122070312,113.05999755859375
2022-07-28,155.99957275390625,272.63201904296875,122.27999877929688,114.22000122070312
